代碼,名稱,產業,市場,題材(L2),tech,supply
1101,台泥,水泥工業,TWSE,"水泥, 水泥製品, 汽電共生, 電力, 預拌混凝土",儲能,
1102,亞泥,水泥工業,TWSE,"水泥, 汽電共生, 電力, 預拌混凝土, 高爐水泥","水泥, 預拌混凝土, 高爐水泥",
1103,嘉泥,水泥工業,TWSE,"地產, 旅宿／餐飲, 水泥, 物業投資發展, 貨櫃場服務, 運輸事業, 飯店","餐飲, 水泥, 貨櫃航運, 飯店",
1104,環泥,水泥工業,TWSE,"水泥, 水泥製品, 預拌混凝土","水泥, 預拌混凝土",
1108,幸福,水泥工業,TWSE,"水泥, 預拌混凝土, 高爐水泥","水泥, 預拌混凝土, 高爐水泥",
1109,信大,水泥工業,TWSE,"水泥, 預拌混凝土, 高爐水泥","水泥, 預拌混凝土, 高爐水泥",
1110,東泥,水泥工業,TWSE,"水泥, 高爐水泥","水泥, 高爐水泥",
1201,味全,食品工業,TWSE,"乳製品, 非酒精飲料, 食品加工, 飲料相關",食品,
1203,味王,食品工業,TWSE,"罐頭業, 調味品, 調理食品, 資產股, 速食麵, 食品加工",車用電子,Tesla供應鏈
1210,大成,食品工業,TWSE,"大宗物資, 肉品加工, 農林漁牧, 食品加工, 飼料","食品, 飼料",
1213,大飲,食品工業,TWSE,"非酒精飲料, 飲料相關",,Apple供應鏈
1215,卜蜂,食品工業,TWSE,"肉品加工, 農林漁牧, 食品加工, 飼料","食品, 飼料",
1216,統一,食品工業,TWSE,"乳製品, 穀類烘焙製品, 速食麵, 非酒精飲料, 食品加工, 飲料相關",記憶體,
1217,愛之味,食品工業,TWSE,"乳製品, 罐頭業, 非酒精飲料, 食品加工, 飲料相關",食品,
1218,泰山,食品工業,TWSE,"大宗物資, 油脂, 非酒精飲料, 飲料相關","大宗物資, 油脂, 飲料, 酒類",
1219,福壽,食品工業,TWSE,"大宗物資, 寵物食品, 油脂, 農林漁牧, 食品加工, 飼料","食品, 寵物, 飼料",
1220,台榮,食品工業,TWSE,"大宗物資, 流通業, 磨粉製品, 製糖, 農林漁牧, 食品加工, 食品飲料相關通路, 飼料","食品, 飼料",
1225,福懋油,食品工業,TWSE,"大宗物資, 油脂, 農林漁牧, 飼料, 麵粉",飼料,
1227,佳格,食品工業,TWSE,"乳製品, 保健食品, 大宗物資, 油脂, 穀類烘焙製品, 食品加工","食品, 保健食品, 烘焙",
1229,聯華,食品工業,TWSE,"大宗物資, 系統整合, 軟體業, 麵粉","大宗物資, 系統整合, 軟體, 麵粉",
1231,聯華食,食品工業,TWSE,"穀類烘焙製品, 調理食品, 食品加工, 餅乾製品",,NVIDIA供應鏈
